coverage,risk
9.700000000000000289e-03,2.371134020618556604e-01
9.719999999999999474e-03,2.366255144032921864e-01
9.740000000000000394e-03,2.361396303901437399e-01
9.759999999999999579e-03,2.356557377049180446e-01
9.780000000000000498e-03,2.351738241308793387e-01
9.799999999999999684e-03,2.346938775510204189e-01
9.820000000000000603e-03,2.362525458248472543e-01
9.839999999999999789e-03,2.357723577235772416e-01
9.860000000000000708e-03,2.352941176470588203e-01
9.879999999999999893e-03,2.348178137651821817e-01
9.900000000000000813e-03,2.343434343434343536e-01
9.919999999999999998e-03,2.358870967741935609e-01
9.939999999999999183e-03,2.354124748490945551e-01
9.960000000000000103e-03,2.349397590361445853e-01
9.979999999999999288e-03,2.364729458917835536e-01
1.000000000000000021e-02,2.359999999999999876e-01
1.001999999999999939e-02,2.375249500998004026e-01
1.004000000000000031e-02,2.390438247011952289e-01
1.005999999999999950e-02,2.385685884691848835e-01
1.008000000000000042e-02,2.380952380952380820e-01
1.009999999999999960e-02,2.376237623762376128e-01
1.012000000000000052e-02,2.391304347826087029e-01
1.013999999999999971e-02,2.386587771203155794e-01
1.016000000000000063e-02,2.401574803149606196e-01
1.017999999999999981e-02,2.396856581532416375e-01
1.020000000000000073e-02,2.411764705882352977e-01
1.021999999999999992e-02,2.407045009784735679e-01
1.024000000000000084e-02,2.402343750000000000e-01
1.026000000000000002e-02,2.397660818713450159e-01
1.027999999999999921e-02,2.392996108949416445e-01
1.030000000000000013e-02,2.388349514563106735e-01
1.031999999999999931e-02,2.383720930232558211e-01
1.034000000000000023e-02,2.379110251450677060e-01
1.035999999999999942e-02,2.374517374517374491e-01
1.038000000000000034e-02,2.369942196531791834e-01
1.039999999999999952e-02,2.365384615384615308e-01
1.042000000000000044e-02,2.380038387715930903e-01
1.043999999999999963e-02,2.375478927203065194e-01
1.046000000000000055e-02,2.370936902485659692e-01
1.047999999999999973e-02,2.385496183206106957e-01
1.050000000000000065e-02,2.399999999999999911e-01
1.051999999999999984e-02,2.395437262357414387e-01
1.054000000000000076e-02,2.409867172675521918e-01
1.055999999999999994e-02,2.405303030303030387e-01
1.058000000000000086e-02,2.400756143667296671e-01
1.060000000000000005e-02,2.396226415094339646e-01
1.061999999999999923e-02,2.391713747645951016e-01
1.064000000000000015e-02,2.387218045112781961e-01
1.065999999999999934e-02,2.382739212007504714e-01
1.068000000000000026e-02,2.378277153558052415e-01
1.069999999999999944e-02,2.373831775700934454e-01
1.072000000000000036e-02,2.369402985074626766e-01
1.073999999999999955e-02,2.364990689013035385e-01
1.076000000000000047e-02,2.360594795539033564e-01
1.077999999999999965e-02,2.356215213358070493e-01
1.080000000000000057e-02,2.351851851851851916e-01
1.081999999999999976e-02,2.365988909426987030e-01
1.084000000000000068e-02,2.361623616236162293e-01
1.085999999999999986e-02,2.357274401473296588e-01
1.088000000000000078e-02,2.352941176470588203e-01
1.089999999999999997e-02,2.366972477064220315e-01
1.091999999999999915e-02,2.362637362637362570e-01
1.094000000000000007e-02,2.358318098720292577e-01
1.095999999999999926e-02,2.372262773722627616e-01
1.098000000000000018e-02,2.367941712204007232e-01
1.099999999999999936e-02,2.381818181818181890e-01
1.102000000000000028e-02,2.377495462794918246e-01
1.103999999999999947e-02,2.391304347826087029e-01
1.106000000000000039e-02,2.386980108499095754e-01
1.107999999999999957e-02,2.382671480144404330e-01
1.110000000000000049e-02,2.378378378378378510e-01
1.111999999999999968e-02,2.392086330935251914e-01
1.114000000000000060e-02,2.387791741472172213e-01
1.115999999999999978e-02,2.383512544802867394e-01
1.118000000000000070e-02,2.379248658318425802e-01
1.119999999999999989e-02,2.392857142857142960e-01
1.122000000000000081e-02,2.406417112299465144e-01
1.123999999999999999e-02,2.402135231316726016e-01
1.125999999999999918e-02,2.397868561278863331e-01
1.128000000000000010e-02,2.393617021276595869e-01
1.129999999999999928e-02,2.389380530973451433e-01
1.132000000000000020e-02,2.385159010600706730e-01
1.133999999999999939e-02,2.380952380952380820e-01
1.136000000000000031e-02,2.376760563380281577e-01
1.137999999999999949e-02,2.372583479789103778e-01
1.140000000000000041e-02,2.368421052631578816e-01
1.141999999999999960e-02,2.381786339754816129e-01
1.144000000000000052e-02,2.377622377622377603e-01
1.145999999999999970e-02,2.373472949389179854e-01
1.148000000000000062e-02,2.386759581881533199e-01
1.149999999999999981e-02,2.399999999999999911e-01
1.152000000000000073e-02,2.395833333333333426e-01
1.153999999999999991e-02,2.391681109185442022e-01
1.156000000000000083e-02,2.387543252595155652e-01
1.158000000000000002e-02,2.383419689119170848e-01
1.159999999999999920e-02,2.379310344827586243e-01
1.162000000000000012e-02,2.375215146299483604e-01
